customer_id,customer_name,SEGMENT,orders,first_order,last_order,days_since_last
CC-12430,Chuck Clark,Home Office,10,2015-09-06,2017-12-30,2866
EB-13975,Erica Bern,Corporate,4,2016-01-04,2017-12-30,2866
JM-15580,Jill Matthias,Consumer,5,2016-04-14,2017-12-30,2866
PO-18865,Patrick O'Donnell,Consumer,7,2014-03-23,2017-12-30,2866
KB-16600,Ken Brennan,Corporate,7,2014-12-30,2017-12-29,2867
JG-15160,James Galang,Consumer,11,2014-05-30,2017-12-29,2867
KH-16360,Katherine Hughes,Consumer,6,2014-04-29,2017-12-29,2867
MC-17845,Michael Chen,Consumer,7,2014-07-05,2017-12-29,2867
BS-11755,Bruce Stewart,Consumer,7,2014-05-18,2017-12-29,2867
BP-11185,Ben Peterman,Corporate,9,2015-03-24,2017-12-29,2867
EH-14005,Erica Hernandez,Home Office,7,2014-05-13,2017-12-28,2868
CS-12400,Christopher Schild,Home Office,9,2014-09-26,2017-12-28,2868
LO-17170,Lori Olson,Corporate,5,2015-02-06,2017-12-28,2868
KH-16690,Kristen Hastings,Corporate,7,2014-03-21,2017-12-28,2868
JG-15310,Jason Gross,Corporate,6,2016-03-03,2017-12-28,2868
JF-15415,Jennifer Ferguson,Consumer,6,2014-06-17,2017-12-28,2868
GH-14665,Greg Hansen,Consumer,2,2015-11-17,2017-12-28,2868
HM-14860,Harry Marie,Corporate,10,2014-07-21,2017-12-28,2868
PC-18745,Pamela Coakley,Corporate,4,2014-12-31,2017-12-28,2868
SV-20935,Susan Vittorini,Consumer,8,2016-03-19,2017-12-28,2868
DR-12880,Dan Reichenbach,Corporate,9,2015-09-25,2017-12-27,2869
KB-16240,Karen Bern,Corporate,7,2014-03-31,2017-12-26,2870
TC-21535,Tracy Collins,Home Office,7,2014-11-03,2017-12-26,2870
YC-21895,Yoseph Carroll,Corporate,5,2014-11-17,2017-12-26,2870
PO-18850,Patrick O'Brill,Consumer,11,2014-11-02,2017-12-26,2870
RA-19285,Ralph Arnett,Consumer,9,2014-12-13,2017-12-25,2871
JW-15955,Joni Wasserman,Consumer,7,2015-08-16,2017-12-25,2871
JH-15430,Jennifer Halladay,Consumer,4,2014-02-24,2017-12-25,2871
FH-14365,Fred Hopkins,Corporate,8,2014-10-20,2017-12-25,2871
GA-14725,Guy Armstrong,Consumer,11,2014-02-11,2017-12-25,2871
GD-14590,Giulietta Dortch,Corporate,4,2014-05-05,2017-12-25,2871
MH-18115,Mick Hernandez,Home Office,9,2016-08-23,2017-12-25,2871
CV-12805,Cynthia Voltz,Corporate,9,2016-05-09,2017-12-25,2871
CS-12355,Christine Sundaresam,Consumer,11,2014-08-15,2017-12-24,2872
DP-13105,Dave Poirier,Corporate,8,2015-08-22,2017-12-24,2872
AC-10615,Ann Chong,Corporate,5,2015-09-15,2017-12-24,2872
AH-10210,Alan Hwang,Consumer,9,2014-11-29,2017-12-24,2872
AR-10540,Andy Reiter,Consumer,6,2014-11-25,2017-12-24,2872
NC-18535,Nick Crebassa,Corporate,7,2014-07-23,2017-12-24,2872
HG-15025,Hunter Glantz,Consumer,7,2014-10-14,2017-12-24,2872
JL-15175,James Lanier,Home Office,5,2014-12-31,2017-12-24,2872
NS-18505,Neola Schneider,Consumer,4,2016-11-24,2017-12-24,2872
RF-19840,Roy Franz̦sisch,Consumer,8,2014-11-12,2017-12-24,2872
RM-19675,Robert Marley,Home Office,5,2014-11-14,2017-12-24,2872
JB-15400,Jennifer Braxton,Corporate,10,2014-09-14,2017-12-23,2873
JB-16045,Julia Barnett,Home Office,5,2015-05-03,2017-12-23,2873
FM-14215,Filia McAdams,Corporate,10,2014-03-11,2017-12-23,2873
GZ-14470,Gary Zandusky,Consumer,9,2014-08-05,2017-12-23,2873
MM-17920,Michael Moore,Consumer,11,2014-01-13,2017-12-23,2873
MF-18250,Monica Federle,Corporate,5,2014-09-15,2017-12-23,2873
